NAME,LOCATION_CLEAN,CUISINES,PRIMARY_CUISINE,PRIMARY_REST_TYPE,RATE,VOTES,APPROX_COST_FOR_TWO_PEOPLE,BOOK_TABLE,ONLINE_ORDER
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Sarjapur Road,Continental,Continental,Delivery,3.5,43,500.0,False,True
Deja Vu Resto Bar,Bannerghatta Road,"North Indian, Italian",North Indian,Pub,4.4,2511,900.0,True,True
Shaadi Ki Biryani,HSR,"Biryani, Charcoal Chicken",Biryani,Takeaway,2.9,18,600.0,False,True
Anand Sweets and Savouries,Commercial Street,"Mithai, Fast Food",Mithai,Quick Bites,4.0,187,400.0,False,False
Mavalli Tiffin Room (MTR),Kalyan Nagar,South Indian,South Indian,Quick Bites,4.1,208,250.0,False,False
Lagom Patisserie,Frazer Town,"Bakery, Desserts",Bakery,Bakery,3.4,4,350.0,False,False
Krispy Kreme,HSR,"Desserts, Beverages",Desserts,Dessert Parlor,3.9,151,300.0,False,True
Turquoise,JP Nagar,North Indian,North Indian,Lounge,2.8,56,1200.0,False,False
Ocean,Koramangala 6th Block,"Mexican, Continental, Italian, Chinese",Mexican,Casual Dining,3.8,215,700.0,False,True
Rafees Biryani,Koramangala 5th Block,"Biryani, North Indian, Desserts",Biryani,Takeaway,3.7,28,600.0,False,True
Kloudish Kitchen,Hennur,"North Indian, South Indian",North Indian,Delivery,3.5,15,250.0,False,True
Udupi Cafe,Whitefield,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,3.6,12,300.0,False,True
Tapri By The Corner,Koramangala 5th Block,Fast Food,Fast Food,Quick Bites,4.1,205,250.0,False,True
The Paratha Company,HSR,North Indian,North Indian,Delivery,4.3,169,400.0,False,True
Deccan Spices,Richmond Road,"Biryani, Mughlai, Fast Food",Biryani,Quick Bites,3.7,24,500.0,False,False
Gama Gama,Banashankari,South Indian,South Indian,Quick Bites,3.9,264,200.0,False,True
Oogway express,Bellandur,"Chinese, Thai, Momos",Chinese,Casual Dining,3.3,10,600.0,False,True
CloudNYN - Sterling Mac Hotel,Old Airport Road,Finger Food,Finger Food,Bar,4.0,417,1000.0,False,False
Bharat Kitchen,Koramangala 1st Block,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",Bengali,Quick Bites,3.7,21,300.0,False,True
Pop Hop,Jayanagar,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,4.1,206,300.0,False,True
Masti Masala,Rajajinagar,North Indian,North Indian,Quick Bites,4.0,397,450.0,False,True
Taste Of India Family Restaurant,Whitefield,"North Indian, South Indian",North Indian,Quick Bites,3.2,232,400.0,False,True
Shree Annapoorneshwari Mess,Indiranagar,South Indian,South Indian,Mess,3.3,7,200.0,False,False
Moghul Durbar Restaurant,Jayanagar,"North Indian, BBQ, Kebab, Rolls",North Indian,Casual Dining,4.0,339,550.0,False,False
Mr. Meetharam,Electronic City,"Mithai, Street Food",Mithai,Quick Bites,3.3,7,150.0,False,True
Indori Zaika,HSR,North Indian,North Indian,Quick Bites,2.9,107,300.0,False,True
Foodizo,Banashankari,"Desserts, Fast Food, Continental",Desserts,Quick Bites,3.6,24,300.0,False,True
Pizza Hut,Marathahalli,Pizza,Pizza,Quick Bites,2.2,310,750.0,False,True
A2B - Adyar Ananda Bhavan,Kalyan Nagar,"South Indian, North Indian, Chinese, Street Food, Fast Food",South Indian,Casual Dining,3.6,244,400.0,False,True
Saka Eatery Outlet,Indiranagar,Street Food,Street Food,Quick Bites,3.7,42,150.0,False,True
Kanti Sweets,Brigade Road,"Mithai, Street Food",Mithai,Sweet Shop,3.9,104,400.0,False,True
Utsav,Banashankari,"North Indian, Street Food",North Indian,Quick Bites,3.7,59,200.0,False,True
Al Hayath Ambur Biryani,Ejipura,Biryani,Biryani,Quick Bites,3.3,9,200.0,False,False
American Bites,Kalyan Nagar,"Fast Food, Burger, Pizza",Fast Food,Quick Bites,2.4,48,450.0,False,True
Flavors of India,Bellandur,"Chinese, North Indian, Salad, Fast Food",Chinese,Casual Dining,3.7,37,1500.0,True,True
Walnut Kitchen,Domlur,"North Indian, Biryani, Chinese",North Indian,Quick Bites,3.0,10,500.0,False,False
Navaneetha,Koramangala 8th Block,"Andhra, Chinese",Andhra,Quick Bites,3.3,4,350.0,False,False
Sitaar,Electronic City,"North Indian, Chinese",North Indian,Casual Dining,3.8,88,800.0,True,True
Paratha Junction,Bannerghatta Road,"North Indian, Chinese",North Indian,Quick Bites,2.4,158,300.0,False,True
Chung Wah,"ITPL Main Road, Whitefield","Chinese, Momos",Chinese,Casual Dining,2.5,73,800.0,False,False
LIT Gastro Pub,Jayanagar,"Chinese, Continental, Burger, Pizza",Chinese,Pub,3.4,215,1000.0,True,True
Wall Street 657,Indiranagar,"Finger Food, Continental",Finger Food,Bar,4.1,1858,1200.0,False,False
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",Fast Food,Quick Bites,3.6,18,250.0,False,True
Balle-Licious Kitchen,HSR,North Indian,North Indian,Delivery,3.9,172,400.0,False,True
Cream Factory,RT Nagar,Desserts,Desserts,Dessert Parlor,3.5,16,400.0,False,True
White Horse,Malleshwaram,"Finger Food, Chinese, North Indian",Finger Food,Bar,3.7,96,1100.0,True,False
Ghar Ka Chulha,Sarjapur Road,"North Indian, Chinese",North Indian,Casual Dining,3.1,117,550.0,False,True
Prashant Naati Corner,New BEL Road,"South Indian, Biryani",South Indian,Quick Bites,4.0,95,400.0,False,False
Rolls On Wheels,JP Nagar,"Fast Food, Rolls, Momos",Fast Food,Quick Bites,3.1,138,300.0,False,False
Savi Sagar,Rajajinagar,"North Indian, South Indian, Chinese",North Indian,Quick Bites,4.1,344,350.0,False,True
Zaks Mediterranean Cuisine,Frazer Town,"Mediterranean, Arabian, Lebanese",Mediterranean,Casual Dining,3.9,256,700.0,False,True
Entropy Cafe,Koramangala 6th Block,"Cafe, Chinese, Pizza, North Indian, Burger",Cafe,Cafe,4.1,508,600.0,False,True
Calicut Mess House,Whitefield,Kerala,Kerala,Mess,3.2,5,250.0,False,False
The Grand Taj,Shivajinagar,"North Indian, Chinese",North Indian,Quick Bites,3.3,37,350.0,False,True
Begin with us....Tea Time Cafe,Koramangala 7th Block,"Beverages, Tea",Beverages,Beverage Shop,3.9,38,300.0,False,True
Cafe Coffee Day,HSR,Cafe,Cafe,Cafe,3.8,36,650.0,False,False
ReadyBowl,BTM,"Andhra, South Indian, North Indian, Biryani",Andhra,Delivery,3.7,69,400.0,False,True
Srinivasa Brahmins Bakery,Basavanagudi,"Bakery, Street Food",Bakery,Bakery,3.6,16,150.0,False,False
CakeWalk,Koramangala 4th Block,"Desserts, Bakery",Desserts,Dessert Parlor,4.0,366,300.0,False,False
The Shawarma Shop,BTM,Arabian,Arabian,Quick Bites,4.1,382,250.0,False,True
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Lavelle Road,"Asian, Japanese, Thai",Asian,Fine Dining,4.4,864,3000.0,True,False
M Cafe - Bengaluru Marriott Hotel Whitefield,Whitefield,"North Indian, American, Italian",North Indian,Fine Dining,4.1,833,2500.0,True,False
White Elefan Coffee and Snack Bar,Koramangala 6th Block,"Coffee, Fast Food, Chinese, Beverages",Coffee,Quick Bites,3.9,45,550.0,False,True
US Pizza,Kaggadasapura,"Pizza, Italian, Salad",Pizza,Quick Bites,2.4,63,500.0,False,True
Amma's Pastries,HSR,Bakery,Bakery,Dessert Parlor,4.1,148,400.0,False,False
Purnabramha Maharashtrian Restaurant,Kalyan Nagar,Maharashtrian,Maharashtrian,Casual Dining,3.3,30,850.0,True,True
Paul's Dum Biryani,HBR Layout,"Biryani, Hyderabadi",Biryani,Delivery,4.0,148,400.0,False,True
Maa Bargabhima Restaurant,Whitefield,"Bengali, Mughlai, North Indian",Bengali,Quick Bites,3.7,19,250.0,False,False
Little Bites,MG Road,"Cafe, Fast Food",Cafe,Cafe,3.6,7,200.0,False,False
Maria Taste Circle,Marathahalli,"South Indian, North Indian, Kerala, Seafood",South Indian,Casual Dining,3.9,671,450.0,False,True
Lakeview Milkbar,MG Road,"Desserts, Fast Food, Beverages",Desserts,Dessert Parlor,4.0,1469,450.0,False,False
World Of Asia,BTM,Asian,Asian,Quick Bites,4.0,42,300.0,False,True
Ross Kitchen,BTM,"North Indian, Chinese",North Indian,Takeaway,3.6,24,400.0,False,True
Kalavara,CV Raman Nagar,"South Indian, Kerala",South Indian,Quick Bites,3.4,14,150.0,False,False
Hotel Aahaa,Bellandur,South Indian,South Indian,Quick Bites,3.7,25,200.0,False,False
Madurai Idli Dosa Shop,Marathahalli,South Indian,South Indian,Quick Bites,3.6,63,150.0,False,False
Good Bread,JP Nagar,"Bakery, Desserts",Bakery,Bakery,3.6,14,300.0,False,False
Hotel Reddy Bhavan,HSR,"Biryani, North Indian, Chinese, Andhra",Biryani,Quick Bites,3.4,11,300.0,False,True
Siddharth Restaurant,Whitefield,"North Indian, Chinese",North Indian,Quick Bites,3.6,33,400.0,False,False
Rayalaseema Foods,Whitefield,"Andhra, Hyderabadi, Biryani",Andhra,Quick Bites,3.3,9,400.0,False,True
Alba - JW Marriott Bengaluru,Lavelle Road,Italian,Italian,Fine Dining,4.5,583,4000.0,True,False
Beijing Bites,Electronic City,"Chinese, Thai",Chinese,Casual Dining,3.6,778,850.0,True,True
Patels Inn,RT Nagar,"North Indian, Chinese",North Indian,Casual Dining,3.8,48,750.0,False,True
Slurpy Shakes,Marathahalli,Beverages,Beverages,Delivery,3.3,6,300.0,False,True
Bollywood Grill,Electronic City,North Indian,North Indian,Casual Dining,3.4,5,1500.0,False,False
La Brasserie - Le Meridien,Sankey Road,"North Indian, Continental, Japanese, Chinese, South Indian",North Indian,Fine Dining,4.1,309,4100.0,True,False
WOW! Momo,Koramangala 7th Block,"Tibetan, Momos",Tibetan,Quick Bites,3.8,102,400.0,False,True
Cakeport,Rajajinagar,Bakery,Bakery,Dessert Parlor,3.4,36,400.0,False,True
Vinay Bhel Corner,Banashankari,Street Food,Street Food,Quick Bites,3.4,7,100.0,False,False
Eaternet,BTM,"North Indian, Chinese, Street Food",North Indian,Quick Bites,3.6,24,300.0,False,False
Bridgeway,Mysore Road,"North Indian, Chinese",North Indian,Casual Dining,3.8,94,550.0,False,False
Tasty King,RT Nagar,"South Indian, North Indian, Chinese",South Indian,Quick Bites,3.4,8,400.0,False,True
Big Foody's,Koramangala 8th Block,"North Indian, Chinese, South Indian, Fast Food",North Indian,Delivery,3.2,4,500.0,False,False
Wangs Kitchen,Electronic City,Chinese,Chinese,Takeaway,2.5,55,1000.0,False,True
Rajdhani Thali Restaurant,Indiranagar,North Indian,North Indian,Casual Dining,4.0,1137,1000.0,True,True
Zamindars Biryani Durbar,Nagawara,"Biryani, Chinese, Mughlai, Andhra",Biryani,Casual Dining,4.3,53,600.0,True,True
The Yummy Tummy,Bannerghatta Road,"North Indian, Street Food",North Indian,Quick Bites,3.5,13,200.0,False,False
Abhiruchi Hotel,Bannerghatta Road,"Andhra, Biryani, North Indian, Chinese",Andhra,Casual Dining,3.3,456,550.0,False,True
Domino's Pizza,Old Airport Road,"Pizza, Fast Food",Pizza,Quick Bites,2.8,413,400.0,False,True
Bake and Juice,BTM,"Fast Food, North Indian",Fast Food,Quick Bites,3.5,16,400.0,False,True
Box of Biryani,Koramangala 6th Block,"Biryani, North Indian, Kebab",Biryani,Delivery,3.5,9,400.0,False,False
Unlock - The Restobar,Electronic City,Japanese,Japanese,Lounge,3.8,27,1200.0,False,False
The Light House Restaurant,New BEL Road,"North Indian, Chinese, Seafood",North Indian,Casual Dining,4.2,53,500.0,False,True
Tellimagic Restaurant,Electronic City,"North Indian, South Indian, Chinese",North Indian,Quick Bites,3.5,12,400.0,False,True
Antilla Aromas,Bannerghatta Road,"Desserts, Ice Cream",Desserts,Dessert Parlor,3.7,22,300.0,False,True
Banarasi Chat Centre,Kammanahalli,Street Food,Street Food,Quick Bites,3.2,6,150.0,False,False
Deepak Fast Food,Marathahalli,Fast Food,Fast Food,Quick Bites,3.3,4,350.0,False,False
Ramana's,Cunningham Road,"North Indian, Chinese, Healthy Food",North Indian,Casual Dining,4.0,380,850.0,True,True
Aha Juice Bar,BTM,"Beverages, Fast Food",Beverages,Beverage Shop,3.6,13,200.0,False,False
Chicken Corner,Majestic,"North Indian, Chinese, Mughlai",North Indian,Casual Dining,3.2,6,450.0,False,False
YORK St.,Koramangala 5th Block,"Cafe, European, Continental",Cafe,Cafe,4.4,950,900.0,False,True
Dragon's Kitchen,HSR,Chinese,Chinese,Casual Dining,3.1,248,500.0,False,True
Countryside - The Taste of Chettinad,Kalyan Nagar,"Seafood, Biryani, South Indian, Chettinad",Seafood,Casual Dining,3.9,293,900.0,True,True
Mad Over Donuts,Whitefield,"Bakery, Desserts, Beverages",Bakery,Dessert Parlor,3.7,29,450.0,False,True
La Pino'z Pizza,Koramangala 4th Block,"Italian, Pizza, Beverages",Italian,Quick Bites,4.1,510,600.0,False,True
Pakwan Family Restaurant,Marathahalli,"North Indian, Chinese",North Indian,Quick Bites,3.4,5,400.0,False,False
Mighty Paws,Sarjapur Road,Cafe,Cafe,Cafe,4.0,138,500.0,False,True
Smoor,Bellandur,"Desserts, Beverages",Desserts,Dessert Parlor,3.7,47,900.0,False,True
Lazeez Biryani,New BEL Road,"North Indian, Chinese, Mughlai, Hyderabadi",North Indian,Quick Bites,4.0,50,400.0,False,True
Just Eat,Indiranagar,"North Indian, Chinese, Beverages",North Indian,Quick Bites,3.4,18,500.0,False,True
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",South Indian,Quick Bites,3.6,95,150.0,False,True
Grandma's Recipe,Sarjapur Road,"Biryani, Kebab, Kerala",Biryani,Takeaway,3.9,51,400.0,False,False
Thalassery Mess,HSR,Kerala,Kerala,Mess,3.3,7,300.0,False,False
Classic Lassi Shop,Ulsoor,"Beverages, Ice Cream",Beverages,Beverage Shop,3.4,43,150.0,False,True
Keventers,BTM,"Beverages, Desserts, Ice Cream",Beverages,Beverage Shop,3.8,26,400.0,False,True
Upahara Darshini,Basavanagudi,South Indian,South Indian,Quick Bites,4.2,257,150.0,False,False
nu.tree,Whitefield,"North Indian, Healthy Food, Beverages",North Indian,Quick Bites,4.2,52,400.0,False,True
Priyadarshini Grand,Basaveshwara Nagar,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,4.0,407,400.0,False,False
Paratha Junction,Jayanagar,"North Indian, Chinese",North Indian,Quick Bites,3.3,399,300.0,False,True
Third Wave Coffee Roasters,HSR,"Cafe, Continental",Cafe,Cafe,4.1,142,800.0,False,True
Sri Ganesh Juice Junction,Bellandur,"Juices, Fast Food",Juices,Beverage Shop,3.5,6,200.0,False,True
Rolls On Wheel,Koramangala 5th Block,"Fast Food, Rolls",Fast Food,Quick Bites,3.0,18,300.0,False,False
BBxR,Marathahalli,"Biryani, Kebab",Biryani,Delivery,3.5,11,400.0,False,False
Nizaam's Kaati Rolls & Kebabs,Jeevan Bhima Nagar,"Street Food, North Indian, Rolls",Street Food,Quick Bites,3.7,112,450.0,False,True
Udupi Tazza Thindi,New BEL Road,"South Indian, North Indian, Chinese",South Indian,Quick Bites,3.2,7,300.0,False,False
Hasee-E-Shan Makers Of Biryani,Whitefield,"Biryani, Mughlai, North Indian",Biryani,Quick Bites,3.5,16,500.0,False,True
Cafe Coffee Day,Jayanagar,Cafe,Cafe,Cafe,2.9,33,650.0,False,True
Shankar Maanes Kitchen,HSR,"South Indian, Biryani, North Indian",South Indian,Quick Bites,3.8,33,500.0,False,True
Big Chick Fried Chicken,Kaggadasapura,Fast Food,Fast Food,Quick Bites,3.5,11,400.0,False,True
Shanmukha,Jayanagar,"Biryani, Andhra, North Indian, Chinese",Biryani,Casual Dining,4.3,2020,800.0,False,True
Aathithya,Infantry Road,"North Indian, Continental, Chinese",North Indian,Casual Dining,3.1,16,1100.0,False,False
Jashn Hyderabadi Bawarchi,New BEL Road,"Hyderabadi, North Indian, Chinese, Biryani",Hyderabadi,Casual Dining,2.9,140,650.0,False,True
Idly Pidly,Bannerghatta Road,South Indian,South Indian,Quick Bites,3.2,148,250.0,False,True
AM's Cafe Recreate,BTM,"Chinese, North Indian",Chinese,Takeaway,3.4,10,250.0,False,True
Domino's Pizza,BTM,"Pizza, Fast Food",Pizza,Quick Bites,4.1,521,400.0,False,True
Tall Blonde French,Koramangala 5th Block,Fast Food,Fast Food,Quick Bites,4.3,726,400.0,False,True
Azura Restaurant,Bellandur,"North Indian, Mughlai, Chinese, Arabian, Kerala",North Indian,Casual Dining,2.8,98,500.0,False,True
VMS Star Biriyani,Electronic City,"Biryani, North Indian",Biryani,Casual Dining,3.2,9,500.0,False,True
Al-Bek,BTM,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",Biryani,Takeaway,3.9,188,450.0,False,True
Shilpa Gulati's Desserts,Cunningham Road,Bakery,Bakery,Bakery,3.6,17,600.0,False,False
Sri Rama,Shivajinagar,South Indian,South Indian,Quick Bites,3.2,4,200.0,False,False
Sizzling Szechuan,Banaswadi,"Chinese, Thai, Seafood",Chinese,Casual Dining,3.9,228,600.0,False,True
Food Club Restaurant,Electronic City,"North Indian, Chinese",North Indian,Casual Dining,3.7,45,500.0,False,False
Mast Kalandar,Koramangala 4th Block,North Indian,North Indian,Casual Dining,2.5,547,450.0,False,False
BOX8- Desi Meals,Bannerghatta Road,"North Indian, Mughlai, Fast Food",North Indian,Takeaway,4.1,427,500.0,False,True
Bite and Pipes,Kammanahalli,"Continental, Chinese",Continental,Casual Dining,3.5,13,500.0,False,False
Lost in Pizza,HSR,"Pizza, Fast Food",Pizza,Takeaway,3.1,4,600.0,False,True
McDonald's,Bannerghatta Road,"Burger, Fast Food",Burger,Quick Bites,4.0,258,500.0,False,True
Bangaliana,Marathahalli,Bengali,Bengali,Quick Bites,3.6,131,600.0,False,True
Season - Adarsh Hamilton,Richmond Road,"North Indian, Chinese, South Indian, Continental",North Indian,Casual Dining,4.3,334,1200.0,True,False
New Farm Fresh,BTM,"Italian, Pizza",Italian,Quick Bites,3.6,34,650.0,False,False
Udupi Upachar,Magadi Road,"South Indian, North Indian, Chinese",South Indian,Quick Bites,3.3,6,250.0,False,False
The Eatery Cafe & Restaurant,Marathahalli,Fast Food,Fast Food,Casual Dining,3.8,60,800.0,False,False
Sky Lounge Bar - Svenska Design Hotel,Electronic City,"North Indian, Pizza, Asian, Italian",North Indian,Bar,4.0,537,1500.0,True,True
Pallavi Restaurant,Electronic City,"Biryani, Chinese, Andhra",Biryani,Casual Dining,3.8,490,500.0,True,True
Mayura Grand,Brookefield,"North Indian, South Indian, Chinese",North Indian,Quick Bites,3.9,92,350.0,False,False
Agent Jack's Bar,Indiranagar,"Continental, North Indian, Italian",Continental,Bar,4.1,597,1300.0,True,False
Calcutta Chats,Vasanth Nagar,"Street Food, North Indian",Street Food,Quick Bites,3.5,17,200.0,False,False
Rolls Corner,Basavanagudi,"Fast Food, Rolls",Fast Food,Quick Bites,3.6,22,150.0,False,False
Vov Shawarma,Electronic City,Fast Food,Fast Food,Quick Bites,3.2,6,200.0,False,True
Crawl Street,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese",Continental,Bar,4.2,2589,1200.0,True,True
Rajdhani Thali Restaurant,Koramangala 7th Block,North Indian,North Indian,Casual Dining,4.0,797,900.0,True,True
Lot Like Crepes & Cafe,Whitefield,"Cafe, Continental, Desserts",Cafe,Cafe,4.0,22,600.0,False,True
Biriyani Adda,Rajajinagar,"Biryani, Fast Food",Biryani,Quick Bites,3.1,38,350.0,False,False
Cafe Coffee Day,Electronic City,"Cafe, Fast Food",Cafe,Cafe,3.7,28,900.0,False,False
Visantoe,Whitefield,Fast Food,Fast Food,Kiosk,3.2,8,400.0,False,True
Juicemaker,Electronic City,"Beverages, Fast Food",Beverages,Beverage Shop,3.9,31,400.0,False,False
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",South Indian,Quick Bites,3.9,441,400.0,False,True
Cafezone,Banaswadi,"Burger, Fast Food, Beverages",Burger,Quick Bites,3.7,27,250.0,False,True
Sri Vishnu Grand & Garden Restaurant,Sarjapur Road,"South Indian, North Indian, Fast Food",South Indian,Quick Bites,3.8,8,500.0,False,True
Malabar Xpress,Koramangala 5th Block,"South Indian, Kerala",South Indian,Quick Bites,3.2,4,300.0,False,True
Kalmane Koffees,Whitefield,Cafe,Cafe,Cafe,3.9,104,350.0,False,False
Sweet Truth,Old Airport Road,"Bakery, Desserts",Bakery,Delivery,4.3,26,500.0,False,True
Madurai Idly Shop,Sarjapur Road,South Indian,South Indian,Quick Bites,2.1,193,200.0,False,False
Imperio Restaurant,Brookefield,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",North Indian,Casual Dining,4.2,841,700.0,True,True
Smoor,MG Road,Desserts,Desserts,Dessert Parlor,4.1,67,900.0,False,True
Zero Kelvin,Koramangala 4th Block,"Desserts, Beverages",Desserts,Dessert Parlor,4.3,169,450.0,False,True
Al Madhina Roll House,Kalyan Nagar,"North Indian, Chinese",North Indian,Quick Bites,3.4,6,350.0,False,False
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",South Indian,Casual Dining,3.1,28,400.0,False,True
Fabcafe,Jayanagar,"Cafe, Healthy Food",Cafe,Cafe,3.5,11,800.0,True,False
Kartik's Mithai Shoppe,Whitefield,"Mithai, Street Food",Mithai,Quick Bites,3.8,72,150.0,False,False
Ambur Hot Dum Biryani,Shanti Nagar,"Biryani, Kebab",Biryani,Quick Bites,3.1,6,250.0,False,False
The London Shakes,Sahakara Nagar,"Beverages, Fast Food",Beverages,Beverage Shop,3.8,44,400.0,False,True
Angel Mutton Leg Soup,Jeevan Bhima Nagar,South Indian,South Indian,Quick Bites,3.5,25,200.0,False,False
The Andhra Bhojanam,"ITPL Main Road, Whitefield",South Indian,South Indian,Bhojanalya,3.3,7,300.0,False,True
Flavours - Octave Hotel & Spa,Sarjapur Road,"North Indian, Chinese",North Indian,Casual Dining,3.0,197,700.0,False,False
Palki's,Bellandur,"North Indian, Biryani",North Indian,Casual Dining,3.0,155,800.0,False,False
Plan B,Indiranagar,"Continental, BBQ, Steak",Continental,Casual Dining,4.1,1699,1100.0,False,False
Rolls On Wheels,Marathahalli,"Fast Food, Rolls, Momos",Fast Food,Quick Bites,3.5,56,300.0,False,False
Bikaner Jn,JP Nagar,Rajasthani,Rajasthani,Quick Bites,3.9,85,300.0,False,True
Donne Biriyani House,HSR,Biryani,Biryani,Quick Bites,3.8,278,200.0,False,True
YumYumSouth,Koramangala 7th Block,South Indian,South Indian,Delivery,3.5,36,600.0,False,True
Frozen Bite,Kaggadasapura,Beverages,Beverages,Beverage Shop,3.3,11,250.0,False,True
K27 - The Pub,Banashankari,"Chinese, North Indian",Chinese,Bar,3.1,30,1000.0,False,False
Natuna Seafood House,Koramangala 5th Block,Seafood,Seafood,Quick Bites,4.2,76,450.0,False,True
Patville,HSR,Desserts,Desserts,Dessert Parlor,4.0,104,300.0,False,False
Aao G Khao G,HSR,"North Indian, Chinese",North Indian,Quick Bites,3.5,11,200.0,False,True
Prajwal The Restaurant,Marathahalli,"North Indian, Chinese, Beverages",North Indian,Quick Bites,3.5,47,300.0,False,True
Sufra Restaurant,HSR,"North Indian, Chinese",North Indian,Casual Dining,3.7,113,800.0,True,True
Spicy Onion,Whitefield,"North Indian, Chinese",North Indian,Casual Dining,3.6,30,400.0,False,True
Hashtag Kitchen,Marathahalli,"North Indian, Biryani, Chinese",North Indian,Casual Dining,3.4,51,600.0,False,True
New Aastha,Electronic City,"North Indian, Chinese",North Indian,Quick Bites,3.6,34,250.0,False,True
Fujian Express,HSR,"Chinese, Thai, American, Momos",Chinese,Quick Bites,3.2,16,200.0,False,True
Berakah,Hennur,"North Indian, Mughlai, Chinese",North Indian,Casual Dining,4.0,253,600.0,False,True
Ambur Dum Biriyani,Bellandur,Biryani,Biryani,Quick Bites,3.0,11,150.0,False,False
Sea Horse,JP Nagar,"Seafood, Chinese, South Indian, North Indian",Seafood,Casual Dining,3.4,9,500.0,False,False
Kerala Cafe,Kaggadasapura,"Kerala, South Indian, North Indian",Kerala,Quick Bites,3.2,4,300.0,False,False
Deli Chats and Sweets,Marathahalli,"Street Food, Mithai",Street Food,Quick Bites,4.1,50,200.0,False,True
Ruchi Maayaka,Banashankari,South Indian,South Indian,Delivery,3.3,8,100.0,False,False
Mojo Pizza - 2X Toppings,Kammanahalli,Pizza,Pizza,Delivery,4.1,91,600.0,False,True
Gyani Da Punjabi Dhaba,BTM,"North Indian, Chinese",North Indian,Quick Bites,3.9,1190,500.0,False,True
Tasty Bites,JP Nagar,North Indian,North Indian,Quick Bites,3.8,217,450.0,False,True
Pizza Republic,Electronic City,"Pizza, Fast Food",Pizza,Quick Bites,3.8,270,500.0,False,True
Oven Fresh,Whitefield,"Bakery, Fast Food",Bakery,Quick Bites,2.9,21,600.0,False,False
Sultan's Creams & Faloodas,Frazer Town,"Ice Cream, Beverages",Ice Cream,Dessert Parlor,3.3,4,150.0,False,True
Thalis Of India,Sarjapur Road,"South Indian, North Indian, Beverages",South Indian,Delivery,3.3,8,500.0,False,True
Bisimillah Biriyani's & Kebab's,BTM,"Biryani, Fast Food",Biryani,Quick Bites,3.3,6,300.0,False,False
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,"Cafe, American, Continental, Steak",Cafe,Cafe,3.9,463,800.0,False,True
Food Paradise,Whitefield,"North Indian, Chinese, Bengali, Biryani",North Indian,Quick Bites,3.3,12,500.0,False,False
Moriz Restaurant,Brookefield,"Arabian, North Indian, Biryani, Chinese, Seafood",Arabian,Casual Dining,2.8,1884,750.0,False,True
Szechwan Court - The Oberoi,MG Road,Chinese,Chinese,Fine Dining,4.1,171,2500.0,False,False
Stonelicious,Marathahalli,"Desserts, Ice Cream",Desserts,Dessert Parlor,4.1,287,300.0,False,True
Stir Fry,Residency Road,"Chinese, Momos",Chinese,Casual Dining,4.0,210,500.0,False,False
AKS Family Dhaba And Restaurant,Marathahalli,"North Indian, Mughlai, South Indian",North Indian,Quick Bites,3.6,41,500.0,False,True
Sandesh,Hennur,"Mithai, Street Food",Mithai,Sweet Shop,3.1,16,400.0,False,False
The Bier Library,Koramangala 6th Block,"Continental, North Indian, Pizza, BBQ",Continental,Microbrewery,4.3,582,2000.0,True,True
Bangaliana,Indiranagar,Bengali,Bengali,Quick Bites,3.7,15,500.0,False,True
Salt N Pepper,Electronic City,"North Indian, Chinese",North Indian,Casual Dining,3.6,74,500.0,False,False
Husband's Kitchen,Sarjapur Road,"Fast Food, North Indian",Fast Food,Quick Bites,3.5,112,350.0,False,True
Big Box Theory,Ejipura,"Salad, Healthy Food, Fast Food",Salad,Delivery,3.6,11,550.0,False,False
Happy Endings,"ITPL Main Road, Whitefield","Bakery, Desserts",Bakery,Bakery,4.1,180,300.0,False,True
Tarbouche,Koramangala 5th Block,"Turkish, Rolls",Turkish,Kiosk,4.0,269,300.0,False,True
Wanley,Indiranagar,Chinese,Chinese,Casual Dining,4.0,514,500.0,False,False
Combo Box,Koramangala 7th Block,"North Indian, Biryani, Chinese",North Indian,Takeaway,3.0,20,500.0,False,True
Mallige,Race Course Road,"North Indian, South Indian",North Indian,Casual Dining,3.2,5,700.0,False,False
The Big Spoon,Whitefield,"North Indian, Mughlai",North Indian,Casual Dining,3.8,45,750.0,False,True
Just Bake,Sarjapur Road,Bakery,Bakery,Dessert Parlor,3.5,10,400.0,False,False
Snackiey,Bannerghatta Road,North Indian,North Indian,Quick Bites,3.5,11,250.0,False,False
